x,y
366.255,326.031
795.085,297.767
258.157,192.423
593.272,459.387
437.86,207.505
342.326,189.333
135.988,376.845
3.997,475.482
22.424,131.967
434.051,453.16
195.136,172.428
577.307,44.637
72.504,319.91
304.079,329.723
116.943,153.328
330.22,427.168
699.178,260.014
432.724,274.676
798.484,186.907
83.524,422.151
273.36,397.009
604.531,23.888
217.127,329.02
211.839,388.901
506.839,368.889
266.586,152.441
176.708,479.745
209.07,109.853
233.857,289.917
742.752,26.308
651.619,127.048
757.497,217.527
372.015,511.538
329.42,148.584
226.384,186.941
