x,y
366.255,326.031
304.079,329.723
273.36,397.009
211.839,388.901
217.127,329.02
233.857,289.917
258.157,192.423
226.384,186.941
195.136,172.428
209.07,109.853
266.586,152.441
329.42,148.584
342.326,189.333
437.86,207.505
432.724,274.676
506.839,368.889
434.051,453.16
372.015,511.538
330.22,427.168
176.708,479.745
83.524,422.151
135.988,376.845
72.504,319.91
3.997,475.482
116.943,153.328
22.424,131.967
577.307,44.637
604.531,23.888
651.619,127.048
742.752,26.308
798.484,186.907
757.497,217.527
699.178,260.014
795.085,297.767
593.272,459.387
366.255,326.031
