x,y
454.297,100.447
569.516,328.495
711.383,297.742
498.907,545.769
141.547,590.017
689.171,459.384
240.663,88.074
466.077,463.373
523.101,348.176
542.954,32.565
340.384,355.978
161.614,113.641
63.621,573.854
672.396,363.08
729.76,260.738
522.297,561.245
342.975,425.346
697.581,587.233
236.997,378.403
716.273,352.232
465.913,324.009
128.54,128.998
192.863,23.088
214.918,144.111
263.247,586.58
112.972,528.98
141.406,155.715
173.144,66.711
33.144,241.647
144.624,241.048
172.002,36.781
304.573,191.371
489.662,431.676
543.126,581.845
338.638,454.386
353.901,518.163
434.034,447.792
683.589,138.531
421.834,228.205
168.451,401.297
560.603,268.459
407.357,15.088
712.343,329.042
552.557,44.464
333.321,329.353
567.07,304.386
520.959,340.031
611.987,447.504
211.875,225.019
600.307,181.308
407.002,419.978
639.359,322.495
33.729,131.662
569.138,30.889
751.628,306.073
204.143,45.898
437.767,343.485
579.112,273.051
727.493,61.686
421.882,320.219
175.424,485.321
335.475,47.68
569.401,221.528
668.4,568.546
560.07,137.638
181.28,573.758
361.459,168.977
354.219,270.435
57.256,77.777
762.717,581.249
150.4,20.779
199.039,363.952
18.137,563.127
88.988,362.764
74.378,207.92
621.165,545.14
73.653,494.244
106.542,433.041
547.888,297.831
223.965,592.714
412.704,239.102
667.139,147.317
188.006,167.166
63.824,321.175
30.711,471.482
614.952,438.994
25.857,465.269
344.743,348.116
445.863,83.322
505.921,188.557
296.995,549.997
250.039,405.972
11.618,431.418
151.422,423.933
438.459,303.096
99.781,133.195
589.357,270.503
632.101,201.528
468.547,253.677
399.055,412.576
