x,y
638.148,377.464
462.112,307.249
300.859,1.019
135.177,61.044
736.343,374.19
224.351,407.294
762.068,404.974
262.0,329.658
608.208,156.382
419.526,303.403
748.619,104.283
359.253,345.94
302.992,226.419
515.641,560.198
671.456,562.825
270.566,599.565
620.631,16.228
226.144,595.054
158.3,165.05
82.005,569.779
711.254,259.351
110.042,365.364
212.212,197.443
282.066,537.907
682.844,196.652
207.603,472.178
587.952,197.515
571.235,7.035
201.136,553.766
323.927,505.307
406.177,569.883
60.158,192.157
782.153,106.908
71.013,174.532
522.594,147.131
446.247,29.887
774.455,350.626
796.123,10.544
46.412,383.94
140.407,287.331
181.161,128.533
507.183,588.216
616.105,227.953
0.305,271.752
683.787,468.912
727.21,495.236
755.004,474.376
660.344,440.112
361.843,594.234
225.405,72.782
