x,y
43.116,306.844
499.104,263.104
458.778,498.62
645.081,459.801
454.956,327.908
75.074,99.415
378.058,162.023
346.473,155.883
539.741,503.608
160.343,491.508
195.82,97.417
9.045,552.843
739.137,244.876
752.475,524.819
338.124,523.429
599.72,154.247
742.841,234.927
499.267,339.461
48.064,3.186
367.598,90.776
3.706,444.158
272.278,39.268
731.572,61.137
488.875,460.803
43.761,145.425
9.032,422.029
232.595,332.992
412.0,207.899
282.119,274.396
372.728,67.995
117.679,38.259
566.151,45.484
426.282,486.419
532.877,67.343
122.638,59.424
770.829,441.37
54.158,224.581
124.964,294.136
796.097,415.931
172.596,30.992
474.896,503.225
161.478,571.734
503.086,307.079
197.479,292.057
617.729,452.344
412.856,313.347
478.66,339.446
394.697,199.753
768.428,218.252
43.828,315.732
