fid,cat,from_cat,to_cat,cost
"1","91","7","1",43115.563
"2","92","7","2",40482.771
"3","93","7","3",45745.838
"4","94","7","4",33052.04
"5","95","7","5",31721.498
"6","96","7","6",40416.66
"7","98","7","9",56849.324
"8","99","7","10",53470.379
"9","100","7","11",48768.356
"10","101","7","12",53784.739
"11","102","7","13",35098.268
"12","103","7","14",38327.3
"13","104","7","15",24321.74
"14","105","7","16",29023.262
"15","106","8","1",52709.305
"16","107","8","2",50076.513
"17","108","8","3",55339.58
"18","109","8","4",42645.782
"19","110","8","5",41315.24
"20","111","8","6",50010.402
"21","113","8","9",66443.066
"22","114","8","10",63064.121
"23","115","8","11",58362.098
"24","116","8","12",63378.481
"25","117","8","13",44692.01
"26","118","8","14",47921.042
"27","119","8","15",33915.482
"28","120","8","16",38617.004
"29","6","1","7",42923.151
"30","7","1","8",52516.168
"31","21","2","7",41061.974
"32","22","2","8",50654.991
"33","36","3","7",45748.596
"34","37","3","8",55341.613
"35","51","4","7",33203.422
"36","52","4","8",42796.439
"37","66","5","7",31881.864
"38","67","5","8",41474.881
"39","81","6","7",40631.321
"40","82","6","8",50224.338
"41","127","9","7",56982.315
"42","128","9","8",66575.332
"43","142","10","7",53589.138
"44","143","10","8",63182.155
"45","157","11","7",48706.86
"46","158","11","8",58299.877
"47","172","12","7",54043.439
"48","173","12","8",63636.456
"49","187","13","7",35282.18
"50","188","13","8",44875.197
"51","202","14","7",38299.519
"52","203","14","8",47892.536
"53","217","15","7",24325.066
"54","218","15","8",33918.083
"55","232","16","7",29038.636
"56","233","16","8",38631.653
"57","91","7","1",43115.563
"58","92","7","2",40482.771
"59","93","7","3",45745.838
"60","94","7","4",33052.04
"61","95","7","5",31721.498
"62","96","7","6",40416.66
"63","98","7","9",56849.324
"64","99","7","10",53470.379
"65","100","7","11",48768.356
"66","101","7","12",53784.739
"67","102","7","13",35098.268
"68","103","7","14",38327.3
"69","104","7","15",24321.74
"70","105","7","16",29023.262
"71","106","8","1",52709.305
"72","107","8","2",50076.513
"73","108","8","3",55339.58
"74","109","8","4",42645.782
"75","110","8","5",41315.24
"76","111","8","6",50010.402
"77","113","8","9",66443.066
"78","114","8","10",63064.121
"79","115","8","11",58362.098
"80","116","8","12",63378.481
"81","117","8","13",44692.01
"82","118","8","14",47921.042
"83","119","8","15",33915.482
"84","120","8","16",38617.004
"85","6","1","7",42923.151
"86","7","1","8",52516.168
"87","21","2","7",41061.974
"88","22","2","8",50654.991
"89","36","3","7",45748.596
"90","37","3","8",55341.613
"91","51","4","7",33203.422
"92","52","4","8",42796.439
"93","66","5","7",31881.864
"94","67","5","8",41474.881
"95","81","6","7",40631.321
"96","82","6","8",50224.338
"97","127","9","7",56982.315
"98","128","9","8",66575.332
"99","142","10","7",53589.138
"100","143","10","8",63182.155
"101","157","11","7",48706.86
"102","158","11","8",58299.877
"103","172","12","7",54043.439
"104","173","12","8",63636.456
"105","187","13","7",35282.18
"106","188","13","8",44875.197
"107","202","14","7",38299.519
"108","203","14","8",47892.536
"109","217","15","7",24325.066
"110","218","15","8",33918.083
"111","232","16","7",29038.636
"112","233","16","8",38631.653
"113","3","1","4",12235.1
"114","4","1","5",13145.34
"115","6","1","7",42923.151
"116","7","1","8",52516.168
"117","12","1","13",13679.575
"118","14","1","15",21988.005
"119","15","1","16",16384.843
"120","154","11","4",18018.809
"121","155","11","5",18929.049
"122","157","11","7",48706.86
"123","158","11","8",58299.877
"124","162","11","13",19463.284
"125","164","11","15",27771.714
"126","165","11","16",22168.552
"127","46","4","1",12589.482
"128","55","4","11",18242.275
"129","61","5","1",13424.031
"130","70","5","11",19076.824
"131","91","7","1",43115.563
"132","100","7","11",48768.356
"133","106","8","1",52709.305
"134","115","8","11",58362.098
"135","181","13","1",13903.246
"136","191","13","11",19556.039
"137","211","15","1",22062.643
"138","221","15","11",27715.436
"139","226","16","1",16570.068
"140","236","16","11",22222.861
"141","3","1","4",12235.1
"142","4","1","5",13145.34
"143","6","1","7",42923.151
"144","7","1","8",52516.168
"145","12","1","13",13679.575
"146","14","1","15",21988.005
"147","15","1","16",16384.843
"148","154","11","4",18018.809
"149","155","11","5",18929.049
"150","157","11","7",48706.86
"151","158","11","8",58299.877
"152","162","11","13",19463.284
"153","164","11","15",27771.714
"154","165","11","16",22168.552
"155","46","4","1",12589.482
"156","55","4","11",18242.275
"157","61","5","1",13424.031
"158","70","5","11",19076.824
"159","91","7","1",43115.563
"160","100","7","11",48768.356
"161","106","8","1",52709.305
"162","115","8","11",58362.098
"163","181","13","1",13903.246
"164","191","13","11",19556.039
"165","211","15","1",22062.643
"166","221","15","11",27715.436
"167","226","16","1",16570.068
"168","236","16","11",22222.861
"169","46","4","1",12589.482
