x,y
35.039,274.503
509.739,249.571
102.731,370.546
557.621,488.322
764.387,215.281
740.458,436.203
476.913,339.654
677.931,367.715
192.085,476.172
150.626,415.8
454.001,345.25
9.106,246.67
298.196,528.209
283.727,221.627
141.783,128.687
740.52,594.44
326.534,57.558
497.824,249.324
627.387,305.045
62.469,203.433
716.827,460.679
649.294,221.738
249.505,594.35
279.054,456.127
49.077,202.175
38.433,190.736
208.944,596.835
647.637,471.823
491.856,552.347
763.171,427.15
621.473,127.842
635.61,586.301
653.668,553.734
671.731,210.688
245.391,114.917
140.627,17.179
300.647,44.253
403.601,454.838
407.894,210.377
36.483,255.622
53.944,177.17
606.418,316.541
171.995,369.657
578.279,445.847
325.144,523.877
