fid,fournisseu,produit,addresse_c,rue,code_posta,ville,pays,quantite,result_num,osm_id,display_na,category,type,latlong
"1",ISEN,BASE LOGISTIQUE,"20 rue Cuirassé Bretagne, 29200, Brest, France",20 rue Cuirassé Bretagne,"29200",Brest,France,"0","0","1702454224","20, Rue Cuirassé Bretagne, Bois-de-Sapins, Treornou, Brest, Finistère, Bretagne, France métropolitaine, 29200, France",place,house,"48.406848,-4.4953956"
"2",Ferme de Prélude,lait,"Kerzouric, 29490, Guipavas, France",Kerzouric,"29490",Guipavas,France,"1320","0","1678716178","Kerzouric, Guipavas, Brest, Finistère, Bretagne, France métropolitaine, 29490, France",place,hamlet,"48.4250547,-4.4456116"
"3",Ferme Traon Bian,lait,"Traon Bihan, 29200, Brest, France",Traon Bihan,"29200",Brest,France,"2500","0","1676850494","Traon-Bihan, Brest, Finistère, Bretagne, France métropolitaine, 29200, France",place,hamlet,"48.4385018,-4.4916124"
"4",Trekalait,lait,"5 rue du Printemps, 29470, Plougastel-Daoulas, France",5 rue du Printemps,"29470",Plougastel-Daoulas,France,"1200","0","1683840244","5, Rue du Printemps, Koadig Mez, Toull-ar-Ranig, Plougastel-Daoulas, Brest, Finistère, Bretagne, France métropolitaine, 29470, France",place,house,"48.3700181,-4.3721984"
"5",Lapic Sivoi,lait,"Le Vern, 29470, Plougastel-Daoulas, France",Le Vern,"29470",Plougastel-Daoulas,France,"3200","0","1151383811","Le Vern, Plougastel-Daoulas, Brest, Finistère, Bretagne, France métropolitaine, 29470, France",place,hamlet,"48.3673248,-4.3555215"
"6",Babelicot,lait,"206 kerervern, 29490, Guipavas, France",206 kerervern,"29490",Guipavas,France,"5000","0","34883523","Rue de Kerervern, ZAC de Kergaradec III, Kererven, Guipavas, Brest, Finistère, Bretagne, France métropolitaine, 29490, France",highway,unclassified,"48.4256383,-4.4400121"
"7",La ferme de Kernivinen,lait,"Kernivinen, 29560, Argol, France",Kernivinen,"29560",Argol,France,"2650","0","741577221","Kernivinen, Argol, Châteaulin, Finistère, Bretagne, France métropolitaine, 29560, France",place,hamlet,"48.2535096,-4.2799184"
"8",La ferme de Karalait,lait,"Kerbaliou, 29160, Crozon, France",Kerbaliou,"29160",Crozon,France,"1240","0","741577118","Kerbaliou, Crozon, Châteaulin, Finistère, Bretagne, France métropolitaine, 29160, France",place,hamlet,"48.2343671,-4.4023731"
"9",Ferme de l'Aber Benoit,lait,"Kérilien, 29860, Plouvien, France",Kérilien,"29860",Plouvien,France,"4250","0","1565055508","Kerilien, Plouvien, Brest, Finistère, Bretagne, France métropolitaine, 29860, France",place,hamlet,"48.5486261,-4.5187869"
"10",La bergerie fromagerie des Abers,lait,"Gorréquéar, 29860, Plouvien, France",Gorréquéar,"29860",Plouvien,France,"1370","0","1565055425","Gorrequear, Plouvien, Brest, Finistère, Bretagne, France métropolitaine, 29860, France",place,hamlet,"48.5279373,-4.4718975"
"11",Ferme de Keroudy,lait,"Keroudy, 29290, Milizac, France",Keroudy,"29290",Milizac,France,"2870","0","1213803747","Keroudy, Milizac, Milizac-Guipronvel, Brest, Finistère, Bretagne, France métropolitaine, 29290, France",place,hamlet,"48.4390541,-4.5438459"
"12",La ferme de Kergrac'h,lait,"Kergrac'h, 29860, Plouvien, France",Kergrac'h,"29860",Plouvien,France,"2650","0","1565055479","Kergrac'h, Plouvien, Brest, Finistère, Bretagne, France métropolitaine, 29860, France",place,hamlet,"48.5429548,-4.4291027"
"13",La ferme de Kervil avel,lait,"Kervilavel, 29470, Plougastel-Daoulas, France",Kervilavel,"29470",Plougastel-Daoulas,France,"4230","0","1151443277","Kervilavel, Plougastel-Daoulas, Brest, Finistère, Bretagne, France métropolitaine, 29470, France",place,hamlet,"48.3551405,-4.3957944"
"14",La chèvrerie de Baradozic,lait,"Baradozic, 29800, Saint-Divy, France",Baradozic,"29800",Saint-Divy,France,"1860","0","1431759613","Baradozic, Saint-Divy, Brest, Finistère, Bretagne, France métropolitaine, 29800, France",place,hamlet,"48.4531339,-4.317893"
"15",Ferme de Keriguy,lait,"Keriguy, 29460, Daoulas, France",Keriguy,"29460",Daoulas,France,"2430","0","847881776","Keriguy, Daoulas, Brest, Finistère, Bretagne, France métropolitaine, 29460, France",place,hamlet,"48.3488701,-4.2710563"
"16",Ferme de Ty Neol,lait,"Ty-Néol, 29470, Loperhet, France",Ty-Néol,"29470",Loperhet,France,"3520","0","839237808","Ty Neol, Loperhet, Brest, Finistère, Bretagne, France métropolitaine, 29470, France",place,hamlet,"48.3947821,-4.303921"
