fid,cat,from_cat,to_cat,cost
"1","3","1","4",835.005
"2","4","1","5",923.238
"3","6","1","7",2301.657
"4","7","1","8",2914.849
"5","12","1","13",1026.249
"6","14","1","15",1226.273
"7","15","1","16",1006.771
"8","46","4","1",836.151
"9","61","5","1",922.565
"10","91","7","1",2303.628
"11","106","8","1",2916.855
"12","181","13","1",1035.299
"13","211","15","1",1228.574
"14","226","16","1",1008.648
"15","46","4","1",836.151
"16","61","5","1",922.565
"17","91","7","1",2303.628
"18","106","8","1",2916.855
"19","181","13","1",1035.299
"20","211","15","1",1228.574
"21","226","16","1",1008.648
"22","3","1","4",835.005
"23","4","1","5",923.238
"24","6","1","7",2301.657
"25","7","1","8",2914.849
"26","12","1","13",1026.249
"27","14","1","15",1226.273
"28","15","1","16",1006.771
"29","46","4","1",836.151
"30","61","5","1",922.565
"31","91","7","1",2303.628
"32","106","8","1",2916.855
"33","181","13","1",1035.299
"34","211","15","1",1228.574
"35","226","16","1",1008.648
"36","3","1","4",835.005
"37","4","1","5",923.238
"38","6","1","7",2301.657
"39","7","1","8",2914.849
"40","12","1","13",1026.249
"41","14","1","15",1226.273
"42","15","1","16",1006.771
"43","46","4","1",836.151
"44","61","5","1",922.565
"45","91","7","1",2303.628
"46","106","8","1",2916.855
"47","181","13","1",1035.299
"48","211","15","1",1228.574
"49","226","16","1",1008.648
"50","3","1","4",835.005
"51","4","1","5",923.238
"52","6","1","7",2301.657
"53","7","1","8",2914.849
"54","12","1","13",1026.249
"55","14","1","15",1226.273
"56","15","1","16",1006.771
"57","46","4","1",836.151
"58","61","5","1",922.565
"59","91","7","1",2303.628
"60","106","8","1",2916.855
"61","181","13","1",1035.299
"62","211","15","1",1228.574
"63","226","16","1",1008.648
"64","3","1","4",835.005
"65","4","1","5",923.238
"66","6","1","7",2301.657
"67","7","1","8",2914.849
"68","12","1","13",1026.249
"69","14","1","15",1226.273
"70","15","1","16",1006.771
"71","3","1","4",835.005
"72","4","1","5",923.238
"73","6","1","7",2301.657
"74","7","1","8",2914.849
"75","12","1","13",1026.249
"76","14","1","15",1226.273
"77","15","1","16",1006.771
"78","46","4","1",836.151
"79","61","5","1",922.565
"80","91","7","1",2303.628
"81","106","8","1",2916.855
"82","181","13","1",1035.299
"83","211","15","1",1228.574
"84","226","16","1",1008.648
"85","3","1","4",835.005
"86","4","1","5",923.238
"87","6","1","7",2301.657
"88","7","1","8",2914.849
"89","12","1","13",1026.249
"90","14","1","15",1226.273
"91","15","1","16",1006.771
"92","46","4","1",836.151
"93","61","5","1",922.565
"94","91","7","1",2303.628
"95","106","8","1",2916.855
"96","181","13","1",1035.299
"97","211","15","1",1228.574
"98","226","16","1",1008.648
"99","3","1","4",835.005
"100","4","1","5",923.238
"101","6","1","7",2301.657
"102","7","1","8",2914.849
"103","12","1","13",1026.249
"104","14","1","15",1226.273
"105","15","1","16",1006.771
"106","46","4","1",836.151
"107","61","5","1",922.565
"108","91","7","1",2303.628
"109","106","8","1",2916.855
"110","181","13","1",1035.299
"111","211","15","1",1228.574
"112","226","16","1",1008.648
"113","3","1","4",835.005
"114","4","1","5",923.238
"115","6","1","7",2301.657
"116","7","1","8",2914.849
"117","12","1","13",1026.249
"118","14","1","15",1226.273
"119","15","1","16",1006.771
"120","46","4","1",836.151
"121","61","5","1",922.565
"122","91","7","1",2303.628
"123","106","8","1",2916.855
"124","181","13","1",1035.299
"125","211","15","1",1228.574
"126","226","16","1",1008.648
"127","152","11","2",764.491
"128","10","1","11",502.881
"129","58","4","14",1205.77
"130","73","5","14",1282.466
"131","193","13","14",1422.755
"132","239","16","14",950.601
"133","199","14","4",1204.237
"134","200","14","5",1279.235
"135","208","14","13",1418.424
"136","210","14","16",949.906
"137","58","4","14",1205.77
"138","73","5","14",1282.466
"139","193","13","14",1422.755
"140","239","16","14",950.601
"141","199","14","4",1204.237
"142","200","14","5",1279.235
"143","208","14","13",1418.424
"144","210","14","16",949.906
"145","58","4","14",1205.77
"146","73","5","14",1282.466
"147","193","13","14",1422.755
"148","239","16","14",950.601
"149","199","14","4",1204.237
"150","200","14","5",1279.235
"151","208","14","13",1418.424
"152","210","14","16",949.906
"153","10","1","11",502.881
"154","10","1","11",502.881
"155","10","1","11",502.881
"156","3","1","4",835.005
"157","4","1","5",923.238
"158","6","1","7",2301.657
"159","7","1","8",2914.849
"160","12","1","13",1026.249
"161","14","1","15",1226.273
"162","15","1","16",1006.771
"163","226","16","1",1008.648
"164","227","16","2",855.418
"165","228","16","3",1136.83
"166","229","16","4",521.15
"167","230","16","5",596.148
"168","231","16","6",800.824
"169","232","16","7",1603.502
"170","233","16","8",2216.694
"171","234","16","9",1736.916
"172","235","16","10",1668.731
"173","236","16","11",1378.557
"174","237","16","12",1790.448
"175","238","16","13",735.337
"176","240","16","15",528.118
"177","15","1","16",1006.771
"178","30","2","16",890.791
"179","45","3","16",1145.982
"180","60","4","16",519.452
"181","75","5","16",596.148
"182","90","6","16",810.108
"183","105","7","16",1601.568
"184","120","8","16",2214.795
"185","135","9","16",1738.687
"186","150","10","16",1670.502
"187","165","11","16",1386.472
"188","180","12","16",1790.5
"189","195","13","16",736.437
"190","225","15","16",526.514
"191","210","14","16",949.906
"192","239","16","14",950.601
"193","15","1","16",1006.771
"194","30","2","16",890.791
"195","45","3","16",1145.982
"196","60","4","16",519.452
"197","75","5","16",596.148
"198","90","6","16",810.108
"199","105","7","16",1601.568
"200","120","8","16",2214.795
"201","135","9","16",1738.687
"202","150","10","16",1670.502
"203","165","11","16",1386.472
"204","180","12","16",1790.5
"205","195","13","16",736.437
"206","210","14","16",949.906
"207","225","15","16",526.514
"208","226","16","1",1008.648
"209","227","16","2",855.418
"210","228","16","3",1136.83
"211","229","16","4",521.15
"212","230","16","5",596.148
"213","231","16","6",800.824
"214","232","16","7",1603.502
"215","233","16","8",2216.694
"216","234","16","9",1736.916
"217","235","16","10",1668.731
"218","236","16","11",1378.557
"219","237","16","12",1790.448
"220","238","16","13",735.337
"221","239","16","14",950.601
"222","240","16","15",528.118
"223","226","16","1",1008.648
"224","227","16","2",855.418
"225","228","16","3",1136.83
"226","229","16","4",521.15
"227","230","16","5",596.148
"228","231","16","6",800.824
"229","232","16","7",1603.502
"230","233","16","8",2216.694
"231","234","16","9",1736.916
"232","235","16","10",1668.731
"233","236","16","11",1378.557
"234","237","16","12",1790.448
"235","238","16","13",735.337
"236","240","16","15",528.118
"237","15","1","16",1006.771
"238","30","2","16",890.791
"239","45","3","16",1145.982
"240","60","4","16",519.452
"241","75","5","16",596.148
"242","90","6","16",810.108
"243","105","7","16",1601.568
"244","120","8","16",2214.795
"245","135","9","16",1738.687
"246","150","10","16",1670.502
"247","165","11","16",1386.472
"248","180","12","16",1790.5
"249","195","13","16",736.437
"250","225","15","16",526.514
"251","226","16","1",1008.648
"252","227","16","2",855.418
"253","228","16","3",1136.83
"254","229","16","4",521.15
"255","230","16","5",596.148
"256","231","16","6",800.824
"257","232","16","7",1603.502
"258","233","16","8",2216.694
"259","234","16","9",1736.916
"260","235","16","10",1668.731
"261","236","16","11",1378.557
"262","237","16","12",1790.448
"263","238","16","13",735.337
"264","240","16","15",528.118
"265","15","1","16",1006.771
"266","30","2","16",890.791
"267","45","3","16",1145.982
"268","60","4","16",519.452
"269","75","5","16",596.148
"270","90","6","16",810.108
"271","105","7","16",1601.568
"272","120","8","16",2214.795
"273","135","9","16",1738.687
"274","150","10","16",1670.502
"275","165","11","16",1386.472
"276","180","12","16",1790.5
"277","195","13","16",736.437
"278","225","15","16",526.514
"279","226","16","1",1008.648
"280","227","16","2",855.418
"281","228","16","3",1136.83
"282","229","16","4",521.15
"283","230","16","5",596.148
"284","231","16","6",800.824
"285","232","16","7",1603.502
"286","233","16","8",2216.694
"287","234","16","9",1736.916
"288","235","16","10",1668.731
"289","236","16","11",1378.557
"290","237","16","12",1790.448
"291","238","16","13",735.337
"292","240","16","15",528.118
"293","15","1","16",1006.771
"294","30","2","16",890.791
"295","45","3","16",1145.982
"296","60","4","16",519.452
"297","75","5","16",596.148
"298","90","6","16",810.108
"299","105","7","16",1601.568
"300","120","8","16",2214.795
"301","135","9","16",1738.687
"302","150","10","16",1670.502
"303","165","11","16",1386.472
"304","180","12","16",1790.5
"305","195","13","16",736.437
"306","225","15","16",526.514
"307","226","16","1",1008.648
"308","227","16","2",855.418
"309","228","16","3",1136.83
"310","229","16","4",521.15
"311","230","16","5",596.148
"312","231","16","6",800.824
"313","232","16","7",1603.502
"314","233","16","8",2216.694
"315","234","16","9",1736.916
"316","235","16","10",1668.731
"317","236","16","11",1378.557
"318","237","16","12",1790.448
"319","238","16","13",735.337
"320","240","16","15",528.118
"321","15","1","16",1006.771
"322","30","2","16",890.791
"323","45","3","16",1145.982
"324","60","4","16",519.452
"325","75","5","16",596.148
"326","90","6","16",810.108
"327","105","7","16",1601.568
"328","120","8","16",2214.795
"329","135","9","16",1738.687
"330","150","10","16",1670.502
"331","165","11","16",1386.472
"332","180","12","16",1790.5
"333","195","13","16",736.437
"334","225","15","16",526.514
"335","15","1","16",1006.771
"336","30","2","16",890.791
"337","45","3","16",1145.982
"338","60","4","16",519.452
"339","75","5","16",596.148
"340","90","6","16",810.108
"341","105","7","16",1601.568
"342","120","8","16",2214.795
"343","135","9","16",1738.687
"344","150","10","16",1670.502
"345","165","11","16",1386.472
"346","180","12","16",1790.5
"347","195","13","16",736.437
"348","225","15","16",526.514
"349","226","16","1",1008.648
"350","227","16","2",855.418
"351","228","16","3",1136.83
"352","229","16","4",521.15
"353","230","16","5",596.148
"354","231","16","6",800.824
"355","232","16","7",1603.502
"356","233","16","8",2216.694
"357","234","16","9",1736.916
"358","235","16","10",1668.731
"359","236","16","11",1378.557
"360","237","16","12",1790.448
"361","238","16","13",735.337
"362","240","16","15",528.118
"363","226","16","1",1008.648
"364","227","16","2",855.418
"365","228","16","3",1136.83
"366","229","16","4",521.15
"367","230","16","5",596.148
"368","231","16","6",800.824
"369","232","16","7",1603.502
"370","233","16","8",2216.694
"371","234","16","9",1736.916
"372","235","16","10",1668.731
"373","236","16","11",1378.557
"374","237","16","12",1790.448
"375","238","16","13",735.337
"376","240","16","15",528.118
"377","15","1","16",1006.771
"378","30","2","16",890.791
"379","45","3","16",1145.982
"380","60","4","16",519.452
"381","75","5","16",596.148
"382","90","6","16",810.108
"383","105","7","16",1601.568
"384","120","8","16",2214.795
"385","135","9","16",1738.687
"386","150","10","16",1670.502
"387","165","11","16",1386.472
"388","180","12","16",1790.5
"389","195","13","16",736.437
"390","225","15","16",526.514
"391","210","14","16",949.906
"392","239","16","14",950.601
"393","210","14","16",949.906
"394","239","16","14",950.601
"395","15","1","16",1006.771
"396","30","2","16",890.791
"397","45","3","16",1145.982
"398","60","4","16",519.452
"399","75","5","16",596.148
"400","90","6","16",810.108
"401","105","7","16",1601.568
"402","120","8","16",2214.795
"403","135","9","16",1738.687
"404","150","10","16",1670.502
"405","165","11","16",1386.472
"406","180","12","16",1790.5
"407","195","13","16",736.437
"408","210","14","16",949.906
"409","225","15","16",526.514
"410","226","16","1",1008.648
"411","227","16","2",855.418
"412","228","16","3",1136.83
"413","229","16","4",521.15
"414","230","16","5",596.148
"415","231","16","6",800.824
"416","232","16","7",1603.502
"417","233","16","8",2216.694
"418","234","16","9",1736.916
"419","235","16","10",1668.731
"420","236","16","11",1378.557
"421","237","16","12",1790.448
"422","238","16","13",735.337
"423","239","16","14",950.601
"424","240","16","15",528.118
"425","226","16","1",1008.648
"426","227","16","2",855.418
"427","228","16","3",1136.83
"428","229","16","4",521.15
"429","230","16","5",596.148
"430","231","16","6",800.824
"431","232","16","7",1603.502
